SPTq,Tq,Tt,SPTs,Ts,Sr,Sa
70.0,71.38963655567775,40.016558880098444,40.0,37.99814922880234,0.0,0.0
70.0,70.93199835771266,40.016496386765546,40.0,37.995186991126204,0.0,0.0
70.0,70.47885352717243,40.01631712930407,40.0,37.992227284757476,0.0,0.0
70.0,70.02901283487773,40.016041973595186,40.0,37.98927040463236,0.0,0.0
70.0,69.58152800992114,40.01568789966099,40.0,37.98631668292545,0.0,0.0
70.0,69.13564363507635,40.015268768708346,40.0,37.983366492151866,0.0,0.0
70.0,68.69075958024621,40.01479591776701,40.0,37.98042024829691,0.0,1.0
70.0,70.73366650521844,40.01459668887961,40.0,37.97747841393618,0.0,1.0
70.0,72.75430618329776,40.014945147207364,40.0,37.97454150130526,0.0,0.0
70.0,72.27126545735887,40.0154198438388,40.0,37.9716100752743,0.0,0.0
70.0,71.7985222921282,40.01567915443853,40.0,37.96868475618026,0.0,0.0
70.0,71.33369230026476,40.015763261505185,40.0,37.96576622246692,0.0,0.0
70.0,70.87488909459759,40.01570427530882,40.0,37.962855213081234,0.0,0.0
70.0,70.42061366564715,40.01552805172856,40.0,37.95995252957391,0.0,0.0
70.0,69.9696717626944,40.01525553476212,40.0,37.957059037851856,0.0,0.0
70.0,69.52111115835386,40.01490376573198,40.0,37.9541756695314,0.0,0.0
70.0,69.07417330165718,40.014486654240905,40.0,37.951303422842955,0.0,0.0
70.0,68.62825556998033,40.014015575699865,40.0,37.94844336304065,0.0,1.0
70.0,70.67009915310369,40.01381912059568,40.0,37.94559662227448,0.0,1.0
